nome,url,url_canonical,indirizzo,cap,citta,provincia,regione,paese,telefono,email,sito_web,padiglione,stand,coespositore,espositore_principale,partita_iva,marchi,categorie,descrizione
JJ PLASTALLOY,https://dp-plast.fieramilano.it/exhibitor/338,https://dp-plast.fieramilano.it/exhibitor/338,"504, Savoy Chambers, Santacruz West",400054,Mumbai,,,India,+91 22 35127082,dhirendra@jjplastalloy.com,http://www.jjplastalloy.com,9,B12,,,,,"POLIAMMIDE 6 (PA 6) | POLIETILENE BASSA DENSITA' (LDPE) | POLIETILENE LINEARE BASSA DENSITA' (LLDPE) | POLIETILENE ALTA DENSITA' (HDPE) | COPOLIMERI DI POLIPROPILENE (PPCP) | OMOPOLIMERI DI POLIPROPILENE (PPHP) | MASTERBATCH COLORANTI | MASTERBATCH RITARDANTI DI FIAMMA | ALTRI MASTERBATCH | CARICHE E RIEMPITIVI MINERALI | RINFORZI IN VETRO, FIBRE E SFERE | POLIAMMIDICHE | MATERIE PRIME, RIGENERATE E COMPOSITI | POLIOLEFINICHE | PIGMENTI, COLORANTI E MASTERBATCH | CARICHE E RINFORZI",
INFRARED,https://dp-plast.fieramilano.it/exhibitor/339,https://dp-plast.fieramilano.it/exhibitor/339,Via Achille Grandi 28,20017,RHO,MI,Lombardia,Italy,+39 02 93906148,info@infraredsrl.it,http://www.infraredsrl.it,11,A127 A129,,,,,"TERMOFORMATRICI | MACCHINE PER LAVORAZIONE SECONDARIA, ALTRE | STAMPATRICI SERIGRAFICHE | IMPIANTI DI ACCOPPIAMENTO | IMPIANTI DI SPALMATURA | TUNNEL PER FILM TERMORETRAIBILE | ATTREZZATURE DI PRETRATTAMENTO SUPERFICIALE | STAZIONE DI PRERISCALDAMENTO STAMPI | ATTREZZATURE AUSILIARIE PER LA LAVORAZIONE DI  MATERIE PLASTICHE E GOMMA, ALTRE | COMPONENTI ELETTRICI | ELEMENTI RISCALDANTI PER CAMERE E CILINDRI DI PLASTIFICAZIONE / RESISTENZE / IRRADIATORI | TERMOFORMATURA SOTTOVUOTO | MACCHINE PER LAVORAZIONE SECONDARIA DI  MATERIE PLASTICHE E GOMMA | MACCHINE E ATTREZZATURE PER L'INDUSTRIA DELLE MATERIE PLASTICHE E DELLA GOMMA | MACCHINE PER STAMPA SU PRODOTTI IN PLASTICA E GOMMA | MACCHINE E IMPIANTI PER FINITURA, DECORAZIONE, STAMPA E E MARCATURA DI PRODOTTI IN MATERIE PLASTICHE | ATTREZZATU","Soluzioni d'Avanguardia per l'Irraggiamento Industriale INFRARED Srl progetta e produce tecnologie a infrarossi d’avanguardia da oltre 40 anni. Specialisti in lampade al quarzo e pannelli radianti, creiamo soluzioni termiche personalizzate per ottimizzare i processi industriali complessi attraverso l'irraggiamento di precisione.
 Non forniamo solo componenti, ma soluzioni produttive mirate: innovazione, efficienza e su misura sono i pilastri del calore firmato INFRARED."
SIR,https://dp-plast.fieramilano.it/exhibitor/340,https://dp-plast.fieramilano.it/exhibitor/340,Via San Silvestro 18/A,35016,PIAZZOLA SUL BRENTA,PD,Veneto,Italy,+39 049 5957542,info@sir-plastics.com,http://www.sir-plastics.com,9,B25 B29,,,,,"POLIETILENE BASSA DENSITA' (LDPE) | POLIETILENE ALTA DENSITA' (HDPE) | COPOLIMERI DI POLIPROPILENE (PPCP) | OMOPOLIMERI DI POLIPROPILENE (PPHP) | POLIETILENE RIGENERATO (R PE) | POLIPROPILENE RIGENERATO (R PP) | POLISTIRENE (GPPS, HIPS, EPS) | ACRILONITRILE-BUTADIENE-STIRENE RIGENERATO (R ABS) | POLIOLEFINICHE | MATERIE PRIME, RIGENERATE E COMPOSITI | STIRENICHE E COPOLIMERI A BASE DI STIRENE",
MEYER ITALY,https://dp-plast.fieramilano.it/exhibitor/341,https://dp-plast.fieramilano.it/exhibitor/341,Via dell'Artigianato 17/19,20865,USMATE VELATE,MB,Lombardia,Italy,+39 039 5160322,info@meyer-italy.it,http://www.meyer-italy.it,13,J13 L14,,,,,SELEZIONATRICI | SELEZIONE DEI MATERIALI | MACCHINE E ATTREZZATURE PER LA PREPARAZIONE E IL RICICLAGGIO DELLE MATERIE PLASTICHE E DELLA GOMMA | MACCHINE E ATTREZZATURE PER L'INDUSTRIA DELLE MATERIE PLASTICHE E DELLA GOMMA | PROGETTAZIONE DEL PRODOTTO | SERVIZI DI CONSULENZA E ORGANIZZAZIONI PER IL SETTORE DELLE MATERIE PLASTICHE E DELLA GOMMA,"Meyer Italy è il branch office italiano di Meyer Corp, azienda leader mondiale nel settore delle selezionatrici ottiche. Da oltre 30 anni, Meyer si dedica alla salvaguardia della sicurezza alimentare e della qualità dei prodotti industriali.
 L’azienda, con il supporto della casa madre offre un servizio completo, che accompagna il cliente in tutto il percorso di vendita e post vendita, dalla progettazione all’installazione, dalla messa in servizio alla manutenzione. Meyer Italy si impegna a conciliare le esigenze del cliente con la tecnologia delle sue macchine, per offrire soluzioni personalizzate e su misura.
 Il punto di forza di Meyer è l’investimento costante in ricerca e sviluppo. L’azienda conta più di 350 ingegneri nel proprio centro di ricerca e sviluppo, che lavora per offrire ai clienti le migliori soluzioni in termini di innovazione, sicurezza e sostenibilità."
EREMA,https://dp-plast.fieramilano.it/exhibitor/342,https://dp-plast.fieramilano.it/exhibitor/342,Unterfeldstrasse 3,4052,"Ansfelden, Linz",,,Austria,+43 732 31900,erema@erema.at,http://www.erema.com,15,P53 R54,,,,,IMPIANTI DI RICICLAGGIO | MACCHINE E ATTREZZATURE PER LA PREPARAZIONE E IL RICICLAGGIO DELLE MATERIE PLASTICHE E DELLA GOMMA | MACCHINE E ATTREZZATURE PER L'INDUSTRIA DELLE MATERIE PLASTICHE E DELLA GOMMA,"EREMA Engineering Recycling Maschinen und Anlagen Ges.m.b.H. EREMA Engineering Recycling Maschinen und Anlagen Ges.m.b.H. has its headquarters in Ansfelden near Linz in Austria and specialises in the development and manufacturing of plastics recycling systems and components. Founded in 1983, the company is now the world market leader. Some 7,900 EREMA recycling systems are now in use worldwide. With subsidiaries in the USA, China and Africa, as well as around another 50 representatives on all five continents, the company has a reliable network to implement customised plastics recycling solutions for customers around the world and promote a circular economy. This is based on innovative recycling technologies for the processing of plastics in the form of inhouse waste, bottle-to-bottle, post consumer and fibres to produce recycled pellets that meet the highest quality specifications.
 The product range in detail • INTAREMA® plastics recycling systems for standard applications and production waste • INTAREMA® plastics recycling systems for heavily printed/contaminated post-consumer waste (FDA-approved for HDPE recycling) • PET recycling systems VACUREMA® and VACUNITE® (FDA, efsa and brand owner approved, e.g. for bottle to bottle recycling) • Inline PET applications (e.g. for fibre, film, strapping and preforms) • COREMA® plastics recycling system for the production of highly filled and customised compounds • CHEMAREMA® series for mechanical input material preparation upstream o"
POLIMERIC,https://dp-plast.fieramilano.it/exhibitor/343,https://dp-plast.fieramilano.it/exhibitor/343,Via Don Luigi Belotti 6,24064,GRUMELLO DEL MONTE,BG,Lombardia,Italy,+39 035 838614,info@in4tek.it,http://www.polimeric.it,22,C126,,,,,"INGEGNERIA DI PRODUZIONE | AUTOMAZIONE, ROBOTICA E INFORMATICA | RICERCA E SVILUPPO | CONSULENZA DI FORMAZIONE | CONSULENZA COMMERCIALE E GENERALE | SERVIZI DI COMPUTER E SOFTWARE | SERVIZI DI CONCESSIONE LICENZE | ALTRI SERVIZI DI CONSULENZA | AGENZIE DI SVILUPPO | FABBRICAZIONE E PROCESSO | SERVIZI DI CONSULENZA E ORGANIZZAZIONI PER IL SETTORE DELLE MATERIE PLASTICHE E DELLA GOMMA | SERVIZI COMMERCIALI E AMMINISTRATIVI | ORGANIZZAZIONI COMMERCIALI","Polimeric è l’unico gestionale creato da sviluppatori con competenze specifiche nel settore della gomma e della plastica, che ti permette di risparmiare tempo nella gestione, ottimizzare gli ordini di produzione in funzione dei costi/tempi/ricavi, ottenere la situazione della produzione in unica dash board e visualizzare il magazzino in tempo reale."
LABORPLAST,https://dp-plast.fieramilano.it/exhibitor/344,https://dp-plast.fieramilano.it/exhibitor/344,Via Massari Marzoli 21,21052,BUSTO ARSIZIO,VA,Lombardia,Italy,+39 0331 309406,info@laborplast.net,http://www.laborplast.net,11,B92,,,,,"CLORURO DI POLIVINILE (PVC) | CLORURO DI POLIVINILE RIGENERATO (R PVC) | SEMILAVORATI, LASTRE E BLOCCHI | BARRE E TUBI | PER POLIMERI | VINILICHE | MATERIE PRIME, RIGENERATE E COMPOSITI | SEMILAVORATI E PRODOTTI DI FINITURA | FORNITORI DI SEMILAVORATI O PRODOTTI FINITI IN  MATERIE PLASTICHE E GOMMA E SERVIZI DI LAVORAZIONE C | SERVIZI DI RIGENERAZIONE E RICICLAGGIO",
ERREPIEMME,https://dp-plast.fieramilano.it/exhibitor/345,https://dp-plast.fieramilano.it/exhibitor/345,Strada Vicinale della Guarnazzola 17,20015,PARABIAGO,MI,Lombardia,Italy,+39 0331 585806,info@errepiemme.it,http://www.errepiemme.it,9,D50 D54,,,,,"POLIAMMIDE 6 (PA 6) | POLIAMMIDE 66 (PA 66) | POLIBUTILENTEREFTALATO (PBT) | POLICARBONATO (PC) | POLIPROPILENE RIGENERATO (R PP) | ACRILONITRILE-BUTADIENE-STIRENE (ABS) | ACRILONITRILE-BUTADIENE-STIRENE RIGENERATO (R ABS) | POLIAMMIDICHE | MATERIE PRIME, RIGENERATE E COMPOSITI | POLIESTERI TERMOPLASTICI | POLIOLEFINICHE | STIRENICHE E COPOLIMERI A BASE DI STIRENE",
HT-COOLING,https://dp-plast.fieramilano.it/exhibitor/346,https://dp-plast.fieramilano.it/exhibitor/346,Via L. Romagnoli 12/A,40010,BENTIVOGLIO,BO,Emilia-Romagna,Italy,+39 0381 988070,info@ht-cooling.com,http://www.ht-cooling.com,22,B02 B06,,,,,REFRIGERATORI D'ACQUA | STAZIONE DI PRERISCALDAMENTO STAMPI | UNITÀ DI RISCALDAMENTO E RAFFREDDAMENTO PER STAMPI E FILIERE | ESSICCATORI/DEUMIDIFICATORI PER MATERIALI IN MASSA | ATTREZZATURE AUSILIARIE PER LA LAVORAZIONE DI  MATERIE PLASTICHE E GOMMA | MACCHINE E ATTREZZATURE PER L'INDUSTRIA DELLE MATERIE PLASTICHE E DELLA GOMMA | SISTEMI DI CAMBIO STAMPI,"HT-Cooling è una società Italiana specializzata nella progettazione, nella fornitura, nell'installazione e nella manutenzione di sistemi di raffreddamento e riscaldamento industriali. La nostra proposta comprende refrigeratori per il raffreddamento di acqua ed aria di processo, cooler adiabatici e dry, gruppi di pompaggio e serbatoi customizzati e unità di termoregolazione ad acqua e ad olio. Da Agosto 2024 l'azienda è parte del Gruppo Galletti, un gruppo Italiano a guida familiare con oltre 120 anni di esperienza nel mercato della climatizzazione."
TREGENPLAST,https://dp-plast.fieramilano.it/exhibitor/348,https://dp-plast.fieramilano.it/exhibitor/348,Via Galileo Galilei 16,20051,CASSINA DE' PECCHI,MI,Lombardia,Italy,+39 02 95299211,commerciale@tregenplast.it,http://www.tregenplast.it,9,B89 B93,,,,,"POLIETILENE BASSA DENSITA' (LDPE) | COPOLIMERI DI POLIPROPILENE (PPCP) | OMOPOLIMERI DI POLIPROPILENE (PPHP) | MISCELE DI POLIOLEFINE | POLIETILENE RIGENERATO (R PE) | POLIPROPILENE RIGENERATO (R PP) | PER POLIMERI | POLIOLEFINICHE | MATERIE PRIME, RIGENERATE E COMPOSITI | SERVIZI DI RIGENERAZIONE E RICICLAGGIO | FORNITORI DI SEMILAVORATI O PRODOTTI FINITI IN  MATERIE PLASTICHE E GOMMA E SERVIZI DI LAVORAZIONE C",
MD PLAST,https://dp-plast.fieramilano.it/exhibitor/349,https://dp-plast.fieramilano.it/exhibitor/349,Via Alfredo Cappellini 16,20124,MILANO,MI,Lombardia,Italy,+39 02 36577099,info@mdplast.it,http://www.mdplast.it,9,C33 C37,,,,,"BIOPOLIMERI | MASTERBATCH COLORANTI | MASTERBATCH RITARDANTI DI FIAMMA | MASTERBATCH MODIFICANTI | ALTRI MASTERBATCH | STABILIZZANTI | LUBRIFICANTI | RETICOLANTI | ESPANDENTI | DISTACCANTI | ALTRI ADDITIVI E AUSILIARI | ALTRE MATERIE PLASTICHE | MATERIE PRIME, RIGENERATE E COMPOSITI | PIGMENTI, COLORANTI E MASTERBATCH | ALTRI ADDITIVI E AUSILIARI DI PROCESSO",
SCS,https://dp-plast.fieramilano.it/exhibitor/350,https://dp-plast.fieramilano.it/exhibitor/350,Via Lazio 4/11,60030,MONSANO,AN,Marche,Italy,+39 0731 60028,info@scs-srl.com,http://www.scs-srl.com,22,B62 B68,,,,,STAMPI PER INIEZIONE/COMPRESSIONE | STAMPI E FILIERE PER  MATERIE PLASTICHE E GOMMA | MACCHINE E ATTREZZATURE PER L'INDUSTRIA DELLE MATERIE PLASTICHE E DELLA GOMMA,"La S.C.S. Società Costruzione Stampi s.r.l. sorta nel 1985 dall’incontro di alcuni tecnici operativi con esperienza ventennale nel settore. L’azienda si estende su una superficie di oltre 4.000 metri quadri, contando su uno staff di oltre 65 dipendenti. SCS si avvale di oltre 35 unità di macchine utensili per la lavorazione dell’acciaio. Con una esperienza di oltre 2.500 stampi realizzati, la SCS è una azienda leader a livello mondiale nel settore dell’imballaggio plastico.

 Settori di specializzazione: - Imballaggi (casse abbattibili e monoblocco) - Contenitori di tutti i tipi (secchi e spessori sottili) - Casalinghi - Giardinaggio - Pallet - Multicavità e articoli Bicomponenti"
OLOCCO,https://dp-plast.fieramilano.it/exhibitor/351,https://dp-plast.fieramilano.it/exhibitor/351,Via del Santuario 41-43,12045,FOSSANO,CN,Piemonte,Italy,+39 0172 692579,info@vdlolocco.com,http://www.olocco.eu,11,A111 A115,,,,,"COMPONENTI PNEUMATICI | PARTI E COMPONENTI DI MACCHINE PER MATERIE PLASTICHE E GOMMA, ALTRE | PARTI E COMPONENTI DI MACCHINE  PER MATERIE PLASTICHE E GOMMA | MACCHINE E ATTREZZATURE PER L'INDUSTRIA DELLE MATERIE PLASTICHE E DELLA GOMMA",MACCHINE E ATTREZZATURE PER L'INDUSTRIA DELLE MATERIE PLASTICHE E DELLA GOMMA PARTI E COMPONENTI DI MACCHINE PER MATERIE PLASTICHE E GOMMA COMPONENTI PNEUMATICIPARTI E COMPONENTI DI MACCHINE PER MATERIE PLASTICHE E GOMMA.
MACHINEPOINT,https://dp-plast.fieramilano.it/exhibitor/352,https://dp-plast.fieramilano.it/exhibitor/352,Parque Technológico De Boecillo    Calle Andres Laguna 9/11,47151,Valladolid,,,Spain,+34 983 549900,info@machinepoint.com,http://www.machinepoint.com,15,L62,,,,,"ATTREZZATURE PER RIDUZIONE DIMENSIONALE (FRANTUMATORI, TRITURATORI, GRANULATORI) | IMPIANTI DI RICICLAGGIO | IMPIANTI D'ESTRUSIONE PER FILM SOFFIATO | IMPIANTI D'ESTRUSIONE PER FILM-FOGLIE-LASTRE | ESTRUSORI BIVITE | IMPIANTI D'ESTRUSIONE PER TUBI E PROFILI | IMPIANTI D'ESTRUSIONE PER COMPOUND | MACCHINE PER ESTRUSIONE/SOFFIAGGIO | MACCHINE PER STIRO/SOFFIAGGIO (SECONDO RISCALDO) | MACCHINE PER INIEZIONE/SOFFIAGGIO | MACCHINE A INIEZIONE PER TERMOPLASTICI DA 250 KN FINO A 1000 KN DI FORZA DI CHIUSURA | TERMOFORMATRICI | MACCHINE PER STAMPA SU PRODOTTI IN PLASTICA E GOMMA | STAMPATRICI FLESSOGRAFICHE | IMPIANTI DI ACCOPPIAMENTO | MACCHINE E ATTREZZATURE PER LA PREPARAZIONE E IL RICICLAGGIO DELLE MATERIE PLASTICHE E DELLA GOMMA | MACCHINE E ATTREZZATURE PER L'INDUSTRIA DELLE MATERIE PLASTICH","MachinePoint è l'azienda leader nella compravendita di macchinari usati nei settori della plastica e delle bevande. Con oltre 25 anni di esperienza, aiutiamo le aziende di tutto il mondo a trovare attrezzature di alta qualità, garantendo transazioni sicure, trasparenti e senza rischi.

 Siamo specializzati in macchinari usati per l'estrusione e la trasformazione di film, stampa flessografica, termoformatura, estrusione di lastre, stampaggio a iniezione, stampaggio a soffiaggio e riciclaggio di materie plastiche. Lavoriamo con i migliori marchi come EREMA, NGR, COMEXI, WINDMÖLLER & HÖLSCHER, REIFENHÄUSER, NORDMECCANICA, ENGEL, KRAUSS MAFFEI, ARBURG, SML, MACCHI, BOBST, BAUSANO, BATENFELD-CINCINNATI, KAUTEX, PLASTIBLOW, MAGIC, MECCANOPLASTICA, tra molti altri.
 Nel settore delle bevande, offriamo attrezzature per lo stampaggio a iniezione e a soffiaggio di PET, la lavorazione dei latticini e linee di imbottigliamento complete di rinomati produttori come HUSKY, SACMI, SIDEL, KRONES, NISSEI, AOKI, KOSME, SIPA, KHS, TETRA PAK e GALDI.
 Con una forte presenza globale e un esperto team internazionale, MachinePoint gestisce l'intero processo: dall'identificazione dell'attrezzatura più adatta allo smontaggio, alla logistica e alla consegna, rendendo il vostro investimento sicuro e senza preoccupazioni.
 Negli ultimi anni, MachinePoint ha rafforzato la propria presenza in mercati strategici come il Sud-Est asiatico, con un'attenzione particolare a Vietnam, Thailandia, Indonesia e paesi"
COMERIO RODOLFO,https://dp-plast.fieramilano.it/exhibitor/353,https://dp-plast.fieramilano.it/exhibitor/353,Via IV Novembre 165,21058,SOLBIATE OLONA,VA,Lombardia,Italy,+39 0331 641680,info@comerio.it,http://www.comerio.it,11,B31 B35,,,,,"MESCOLATORI A CILINDRI | CALANDRE | MACCHINE PER L'INDUSTRIA DEGLI PNEUMATICI | MACCHINE PER LA LAVORAZIONE DELLA GOMMA, ALTRE | AVVOLGITORI-BOBINATORI | TAGLIERINE RIBOBINATRICI | MACCHINE PER STAMPA SU PRODOTTI IN PLASTICA E GOMMA | GOFFRATRICI | IMPIANTI DI ACCOPPIAMENTO | CILINDRI DI PLASTIFICAZIONE | RICERCA E SVILUPPO | MACCHINE E ATTREZZATURE PER LA PREPARAZIONE E IL RICICLAGGIO DELLE MATERIE PLASTICHE E DELLA GOMMA | MACCHINE E ATTREZZATURE PER L'INDUSTRIA DELLE MATERIE PLASTICHE E DELLA GOMMA | MACCHINE TRASFORMATRICI PER  MATERIE PLASTICHE E GOMMA,ALTRE | MACCHINE PER LAVORAZIONE SECONDARIA DI  MATERIE PLASTICHE E GOMMA | MACCHINE E IMPIANTI PER FINITURA, DECORAZIONE, STAMPA E E MARCATURA DI PRODOTTI IN MATERIE PLASTICHE | PARTI E COMPONENTI DI MACCHINE  PER MATERIE PLASTICHE E G","Rodolfo Comerio is the oldest company in the World in manufacturing complete plants for Plastics and Rubber sheet.

 With the current annual capacity of 25 calendering plants for PVC and RUBBER, besides other lines and machines completing our wide production range, RODOLFO COMERIO is the leader Italian company for the manufacturing of laboratory mills, 2-roll mills, roll calenders for the lamination of thermoplastic films (Calendering lines for Plastics, Laminating, Embossing and Rotogravure Printing lines, Automatic Rewinding machines for Plastics, process KNOW-HOW for Plastics lines) and rubber sheets (2/3/4 roll calenders and complete calendering lines for steel cord rubberizing for PCR, TBR, OTR radial and giant tires, textile cord rubberizing for industrial and car tires, fabric rubberizing for printing blankets, life rafts, air springs, folding bellows, conveyor belts, plates and sheets rubberizing for technical applications…), proud that 100% of its products is exclusively made in Italy."
CHIMAR,https://dp-plast.fieramilano.it/exhibitor/354,https://dp-plast.fieramilano.it/exhibitor/354,Via E. Majorana 24,35010,CADONEGHE,PD,Veneto,Italy,+39 049 8885211,marketing@chimar.com,http://www.chimar.com,9,B50 B54,,,,,"PIGMENTI IN POLVERE | MASTERBATCH COLORANTI | MASTERBATCH RITARDANTI DI FIAMMA | ALTRI MASTERBATCH | PIGMENTI, COLORANTI E MASTERBATCH | MATERIE PRIME, RIGENERATE E COMPOSITI",
COSSA POLIMERI,https://dp-plast.fieramilano.it/exhibitor/355,https://dp-plast.fieramilano.it/exhibitor/355,Via Brughiroli 6,21050,GORLA MAGGIORE,VA,Lombardia,Italy,+39 0331 607811,cossapolimeri@cossapolimeri.it,http://www.cossapolimeri.it,9,C81 C85,,,,,"POLIMETILMETACRILATO (PMMA) | POLIAMMIDE 6 (PA 6) | POLIAMMIDE 66 (PA 66) | POLIBUTILENTEREFTALATO (PBT) | POLICARBONATO (PC) | POLIETILENTEREFTALATO (PET) | COPOLIMERI DI POLIPROPILENE (PPCP) | LEGHE A BASE DI POLIOLEFINE | MISCELE DI POLIOLEFINE | POLISTIRENE (GPPS, HIPS, EPS) | ACRILONITRILE-BUTADIENE-STIRENE (ABS) | LEGHE | BIOPOLIMERI | MASTERBATCH MODIFICANTI | ALTRI MASTERBATCH | POLIMERIZZANTI | ESTRUSIONE | ACRILICHE | MATERIE PRIME, RIGENERATE E COMPOSITI | POLIAMMIDICHE | POLIESTERI TERMOPLASTICI | POLIOLEFINICHE | STIRENICHE E COPOLIMERI A BASE DI STIRENE | ALTRE MATERIE PLASTICHE | PIGMENTI, COLORANTI E MASTERBATCH | ALTRI ADDITIVI E AUSILIARI DI PROCESSO | FORNITURA DI LAVORAZIONI PER CONTO TERZI | FORNITORI DI SEMILAVORATI O PRODOTTI FINITI IN  MATERIE PLASTICHE E GOMMA E SE",compound termoplastici
MEMOPLAST,https://dp-plast.fieramilano.it/exhibitor/356,https://dp-plast.fieramilano.it/exhibitor/356,Langbaurghstrasse 5,53842,Troisdorf,,,Germany,+49 2246 9169590,info@memoplast.de,http://www.memoplast.de,24,B113,,,,,PROTOTIPI | STAMPAGGIO A INIEZIONE | APPLICAZIONI INDUSTRIALI E AGRICOLE | FORNITORI DI SEMILAVORATI O PRODOTTI FINITI IN  MATERIE PLASTICHE E GOMMA E SERVIZI DI LAVORAZIONE C | FORNITURA DI LAVORAZIONI PER CONTO TERZI,"memoplast GmbH è un’azienda a conduzione familiare con sede a Troisdorf, nei pressi di Colonia, specializzata nella realizzazione di prototipi e piccole serie nello stampaggio a iniezione di materie plastiche.
 Grazie al nostro processo consolidato di rapid tooling, produciamo stampi in alluminio ad alta resistenza interamente fresati con precisione, garantendo tempi di sviluppo estremamente ridotti, elevata qualità e grande flessibilità nella fase di progettazione.
 Tutto il processo produttivo è gestito internamente: dal primo confronto tecnico con il cliente, alla progettazione e costruzione dello stampo, fino alla produzione dei componenti stampati a iniezione. In questo modo possiamo garantire un flusso rapido ed efficiente e consegnare i primi campioni già entro due o tre settimane dall’approvazione dei dati 3D.
 memoplast GmbH collabora con aziende di diversi settori industriali e accompagna i progetti lungo tutto il percorso, dal prototipo iniziale fino alla piccola serie pronta per il mercato. Offriamo un approccio flessibile, diretto e orientato al cliente, con comunicazione in tedesco, inglese e italiano.
 Grazie a molti anni di esperienza, processi strutturati e tecnologie produttive moderne, memoplast GmbH è il partner ideale per soluzioni rapide, affidabili ed economiche nel campo dei prototipi, pre-serie e piccole serie nello stampaggio a iniezione di materie plastiche."
PRT PLASTIC RECYCLING TECHNOLOGIES,https://dp-plast.fieramilano.it/exhibitor/357,https://dp-plast.fieramilano.it/exhibitor/357,Via Carlo Ragazzi 13,44012,BONDENO,FE,Emilia-Romagna,Italy,+39 0532 893779,info@prtinnovation.com,http://www.prtinnovation.com,15,B53 C54,,,,,"ATTREZZATURE PER RIDUZIONE DIMENSIONALE (FRANTUMATORI, TRITURATORI, GRANULATORI) | PELLETTIZZATORI | IMPIANTI DI RICICLAGGIO | ATTREZZATURE PER LA PREPARAZIONE E IL RICICLAGGIO, ALTRE | ESTRUSORI MONOVITE | IMPIANTI D'ESTRUSIONE PER COMPOUND | MACCHINE E ATTREZZATURE PER LA PREPARAZIONE E IL RICICLAGGIO DELLE MATERIE PLASTICHE E DELLA GOMMA | MACCHINE E ATTREZZATURE PER L'INDUSTRIA DELLE MATERIE PLASTICHE E DELLA GOMMA | ESTRUSORI E IMPIANTI D'ESTRUSIONE PER  MATERIE PLASTICHE E GOMMA",
UTPVISION,https://dp-plast.fieramilano.it/exhibitor/358,https://dp-plast.fieramilano.it/exhibitor/358,Via Tonale 9,24061,ALBANO SANT'ALESSANDRO,BG,Lombardia,Italy,+39 035 4521465,sales@utpvision.it,http://www.utpvision.com,11,A31 A35,,,,,"SELEZIONATRICI | DISPOSITIVI E SISTEMI DI CONTROLLO E SUPERVISIONE, ALTRI | ALTRE APPARECCHIATURE PER MISURE E PROVE PER PROPRIETÀ MECCANICHE E DINAMICHE | MISURATORI DI SPESSORE | APPARECCHIATURE PER CONTROLLI E PROVE, ALTRE | AUTOMAZIONE, ROBOTICA E INFORMATICA | PROVE, MISURE E CONTROLLI | GARANZIA DI QUALITA' | MACCHINE E ATTREZZATURE PER LA PREPARAZIONE E IL RICICLAGGIO DELLE MATERIE PLASTICHE E DELLA GOMMA | MACCHINE E ATTREZZATURE PER L'INDUSTRIA DELLE MATERIE PLASTICHE E DELLA GOMMA | ATTREZZATURE AUSILIARIE PER LA LAVORAZIONE DI  MATERIE PLASTICHE E GOMMA | CONTROLLI DI PROCESSO | APPARECCHIATURE PER CONTROLLI E PROVE DI LABORATORIO | FABBRICAZIONE E PROCESSO | SERVIZI DI CONSULENZA E ORGANIZZAZIONI PER IL SETTORE DELLE MATERIE PLASTICHE E DELLA GOMMA","UTPVision è leader nella progettazione, produzione e commercializzazione di sistemi avanzati di ispezione visiva per il controllo qualità di oggetti in gomma, plastica, PTFE ed altri materiali in genere. Con oltre 400 clienti e più di 1.600 macchine installate nel mondo, è attiva in diversi ambiti, tra cui i settori industriale, farmaceutico, cosmetico e automotive.
 Tra le novità spiccano il nuovo software 3.0, basato sull’Intelligenza Artificiale, e il sistema brevettato di illuminazione multicolore Color Vision. Queste tecnologie permettono di rilevare difetti critici anche nei componenti più piccoli e difficili da esaminare con metodi tradizionali. 
 L'azienda è inoltre accreditata ACCREDIA con il laboratorio 01942 Calibration, il primo laboratorio metrologico per la misurazione ottica diametrale, che assicura soluzioni altamente precise e personalizzate per ogni esigenza. 
 Grazie alla lunga esperienza in vari settori, UTPVision sviluppa macchine su misura, in grado di adattarsi perfettamente alle necessità specifiche del cliente, garantendo efficienza e affidabilità nei processi produttivi."
